trim,condition,isOneOwner,mileage,year,color,dispacement,fuel,region,soundSystem,wheelType,wheelSize,featureCount,logprice
550,Used,f,28199,2010,Silver,5.5,Gasoline,ESC,Premium,unsp,unsp,40,4.629664392
550,CPO,f,30851,2011,Black,5.5,Gasoline,WSC,unsp,Alloy,unsp,57,4.745816208
550,Used,f,30351,2011,White,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,56,4.723357144
550,Used,t,20425,2011,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,84,4.770815205
550,Used,f,40063,2010,White,5.5,Gasoline,SoA,unsp,unsp,unsp,5,4.6432651
550,Used,f,37274,2010,Silver,5.5,Gasoline,ESC,Harman Kardon,Alloy,18,74,4.579783597
550,Used,f,51066,2011,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,60,4.653202863
550,Used,t,27942,2010,White,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,88,4.661812686
550,Used,f,59037,2010,Black,5.5,Gasoline,SoA,Premium,unsp,unsp,51,4.599883072
550,Used,f,28752,2011,White,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,77,4.755836758
550,Used,f,49394,2010,Black,5.5,Gasoline,SoA,Premium,Alloy,unsp,67,4.53132561
550,CPO,f,46307,2010,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,2,4.697996094
550,Used,f,65096,2010,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,0,4.517288291
550,Used,f,24922,2011,Silver,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,38,4.755653843
550,Used,f,30714,2011,Black,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,56,4.653212514
550,CPO,f,32905,2011,Black,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,73,4.748180272
550,Used,f,56801,2010,Black,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,52,4.64246452
550,Used,t,44726,2010,Black,5.5,Gasoline,ESC,unsp,Alloy,unsp,35,4.662701181
550,Used,t,32886,2011,Silver,5.5,Gasoline,SoA,Premium,Alloy,18,72,4.591053471
550,CPO,f,44023,2010,Silver,5.5,Gasoline,SoA,Premium,Alloy,unsp,81,4.623145875
550,Used,t,41272,2010,White,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,72,4.630936119
550,CPO,f,31167,2011,Black,5.5,Gasoline,SoA,Premium,Alloy,unsp,84,4.690125169
550,CPO,f,29025,2011,Black,5.5,Gasoline,SoA,Premium,Alloy,unsp,109,4.698900512
550,Used,t,53735,2010,Silver,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,62,4.628378711
550,Used,t,30325,2010,Black,5.5,Gasoline,WSC,unsp,unsp,unsp,58,4.715961583
550,Used,t,27481,2011,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,0,4.754936681
